International plan,Voice mail plan,Account length,Total day charge,Customer service calls,Churn,State,churn_probability,predicted_churn,risk_tier
No,No,71,43.93,4,No,GA,0.1,No,Low
No,No,134,41.21,1,No,HI,0.05,No,Low
No,No,84,32.33,2,No,NJ,0.02,No,Low
No,No,39,26.2,2,No,ME,0.01,No,Low
No,No,110,31.96,3,No,OK,0.05,No,Low
No,No,102,17.53,1,No,TN,0.02,No,Low
No,No,70,29.82,0,No,WY,0.03,No,Low
No,No,142,24.72,1,No,NY,0.01,No,Low
No,No,17,27.46,1,No,RI,0.01,No,Low
No,No,119,44.22,1,Yes,PA,0.87,Yes,Critical
Yes,Yes,108,22.12,3,Yes,MD,0.93,Yes,Critical
No,No,90,17.34,2,No,VA,0.02,No,Low
No,Yes,100,37.18,1,No,IN,0.0,No,Low
No,Yes,155,21.85,1,No,OR,0.01,No,Low
No,No,113,21.88,2,Yes,AZ,0.7,Yes,High
No,No,123,29.27,1,No,WI,0.01,No,Low
No,No,145,33.86,1,No,VA,0.04,No,Low
No,No,42,31.37,2,No,MO,0.02,No,Low
No,No,125,28.66,0,No,NV,0.0,No,Low
No,Yes,131,29.58,1,No,HI,0.0,No,Low
No,No,107,39.17,1,No,WA,0.02,No,Low
No,No,48,33.69,1,No,IL,0.01,No,Low
No,No,76,31.64,0,No,IL,0.01,No,Low
No,No,128,25.25,1,No,LA,0.01,No,Low
No,No,73,26.71,0,No,WI,0.02,No,Low
No,No,52,26.35,4,Yes,TX,0.89,Yes,Critical
No,No,124,32.05,1,No,NC,0.01,No,Low
No,No,137,35.5,0,No,WA,0.01,No,Low
No,Yes,107,33.81,3,No,MS,0.0,No,Low
No,No,147,36.18,1,No,KY,0.0,No,Low
No,No,116,23.36,3,No,RI,0.03,No,Low
No,Yes,60,32.61,2,No,NY,0.0,No,Low
No,No,38,25.33,0,No,TX,0.11,No,Low
No,No,63,19.91,3,No,DE,0.0,No,Low
No,No,94,18.36,3,No,NM,0.01,No,Low
No,No,131,19.18,0,No,RI,0.02,No,Low
No,No,158,29.9,1,No,MS,0.01,No,Low
No,No,139,40.22,1,Yes,NY,0.02,No,Low
No,No,140,22.03,3,No,WI,0.02,No,Low
No,Yes,52,22.66,1,No,SD,0.04,No,Low
No,No,103,28.53,5,No,VA,0.17,No,Low
No,Yes,85,48.14,5,No,CO,0.22,No,Low
No,No,71,24.0,2,No,WA,0.01,No,Low
No,Yes,177,39.13,1,No,NV,0.01,No,Low
Yes,No,49,40.43,2,Yes,SC,0.9,Yes,Critical
Yes,No,106,34.68,3,Yes,RI,0.92,Yes,Critical
No,No,60,37.59,1,No,ID,0.02,No,Low
No,No,43,30.12,4,No,KY,0.16,No,Low
No,No,125,27.85,0,No,SD,0.01,No,Low
No,Yes,114,24.02,3,No,SC,0.03,No,Low
No,No,112,46.33,3,Yes,TN,0.83,Yes,Critical
No,Yes,101,20.21,2,No,MT,0.01,No,Low
No,No,70,1.34,0,No,WI,0.03,No,Low
No,No,59,27.12,0,No,AK,0.04,No,Low
No,No,59,25.53,1,No,AZ,0.02,No,Low
No,No,99,23.92,2,No,DE,0.06,No,Low
No,No,150,28.76,1,No,VA,0.0,No,Low
No,No,81,37.54,2,No,MA,0.06,No,Low
No,No,86,36.77,0,No,IN,0.0,No,Low
No,No,84,28.82,0,No,MD,0.01,No,Low
No,Yes,118,43.57,1,No,NV,0.04,No,Low
No,No,89,30.55,1,No,CO,0.02,No,Low
No,No,93,45.22,3,No,KS,0.11,No,Low
No,No,85,16.44,2,No,AR,0.02,No,Low
No,No,160,14.06,0,No,WY,0.02,No,Low
No,No,28,28.59,3,No,PA,0.01,No,Low
No,No,73,48.69,1,Yes,TX,0.91,Yes,Critical
No,No,156,29.63,3,No,NY,0.01,No,Low
Yes,No,33,32.4,1,No,OR,0.11,No,Low
No,No,77,29.84,4,No,CA,0.11,No,Low
No,No,119,22.68,1,No,NY,0.0,No,Low
No,Yes,91,34.78,3,No,AR,0.01,No,Low
No,No,102,41.17,3,No,MI,0.04,No,Low
No,Yes,86,43.03,3,No,OK,0.0,No,Low
No,No,82,22.1,0,No,TX,0.04,No,Low
No,No,89,18.0,0,No,NC,0.18,No,Low
No,No,86,33.01,3,No,ID,0.0,No,Low
No,No,92,33.41,2,No,OR,0.01,No,Low
No,No,87,31.37,3,No,SD,0.03,No,Low
No,No,64,44.52,0,No,NE,0.18,No,Low
No,No,80,34.41,3,No,RI,0.01,No,Low
No,Yes,165,28.46,3,No,MD,0.06,No,Low
No,Yes,153,28.51,1,No,ID,0.05,No,Low
No,No,108,40.83,2,No,SD,0.1,No,Low
No,Yes,104,32.15,1,No,NY,0.0,No,Low
No,No,115,21.71,1,No,DE,0.01,No,Low
No,No,87,34.88,1,No,OK,0.02,No,Low
No,No,119,26.27,2,No,IN,0.02,No,Low
No,No,69,26.13,1,No,NV,0.0,No,Low
No,No,93,55.78,1,Yes,SD,0.85,Yes,Critical
Yes,No,154,24.8,0,Yes,OK,0.91,Yes,Critical
No,Yes,57,34.2,1,No,KS,0.01,No,Low
No,No,130,23.65,5,No,IA,0.16,No,Low
No,No,151,20.21,2,No,NJ,0.2,No,Low
No,No,162,36.99,2,Yes,NJ,0.8,Yes,Critical
No,No,60,24.65,1,No,MT,0.04,No,Low
No,No,81,34.6,3,No,IA,0.01,No,Low
No,No,136,45.87,1,Yes,TX,0.95,Yes,Critical
No,Yes,121,21.47,1,No,MS,0.0,No,Low
No,Yes,105,14.98,2,No,IA,0.01,No,Low
No,Yes,105,37.15,2,No,WI,0.01,No,Low
No,Yes,51,40.26,1,No,MT,0.03,No,Low
No,No,64,21.1,3,No,GA,0.01,No,Low
Yes,Yes,80,31.31,0,No,MT,0.1,No,Low
No,No,56,37.86,4,No,ND,0.23,No,Low
No,No,120,25.36,1,No,VT,0.0,No,Low
No,No,103,35.11,3,No,SD,0.01,No,Low
No,Yes,164,27.15,3,No,OH,0.01,No,Low
No,Yes,116,34.8,2,No,OH,0.0,No,Low
No,No,121,36.24,1,No,MT,0.02,No,Low
No,No,183,19.84,2,No,NV,0.05,No,Low
No,No,104,44.78,0,No,UT,0.35,No,Medium
No,No,90,23.83,1,No,NH,0.01,No,Low
No,No,82,33.61,1,No,LA,0.0,No,Low
No,Yes,9,15.05,2,No,NY,0.01,No,Low
No,No,97,36.6,0,No,CT,0.03,No,Low
No,Yes,127,34.65,0,No,MI,0.0,No,Low
No,Yes,125,45.63,0,No,SD,0.04,No,Low
No,No,140,27.05,1,No,ME,0.04,No,Low
No,No,90,19.45,2,No,MD,0.01,No,Low
No,No,67,23.61,2,No,VA,0.02,No,Low
No,No,113,31.62,1,No,NJ,0.01,No,Low
No,Yes,121,28.97,0,No,TN,0.05,No,Low
No,No,93,27.97,4,No,DC,0.12,No,Low
No,No,121,28.66,1,No,DC,0.01,No,Low
No,No,53,44.4,0,Yes,OR,0.85,Yes,Critical
No,No,75,32.39,1,No,RI,0.04,No,Low
No,No,132,30.79,2,No,AK,0.06,No,Low
No,No,162,30.11,3,No,WI,0.01,No,Low
No,No,140,27.29,1,No,IN,0.02,No,Low
No,No,91,22.9,2,No,MI,0.01,No,Low
No,Yes,73,33.69,2,No,ID,0.02,No,Low
Yes,No,95,38.91,4,Yes,NH,0.6,Yes,High
No,No,145,41.09,0,No,MN,0.07,No,Low
No,No,100,22.29,1,No,AZ,0.01,No,Low
No,No,122,39.8,2,No,MN,0.15,No,Low
No,No,109,34.02,0,No,MO,0.07,No,Low
No,No,82,26.18,1,No,AL,0.02,No,Low
No,Yes,65,38.11,0,No,PA,0.0,No,Low
No,No,52,25.21,3,No,AK,0.01,No,Low
No,Yes,136,29.68,2,No,MS,0.03,No,Low
No,No,75,23.55,1,No,IA,0.01,No,Low
No,No,146,18.53,1,No,WY,0.05,No,Low
No,No,105,27.59,4,No,NE,0.1,No,Low
No,No,48,35.84,2,No,ND,0.01,No,Low
No,No,45,24.21,1,No,CT,0.01,No,Low
No,Yes,106,38.0,2,No,NC,0.01,No,Low
No,No,33,31.03,2,No,CT,0.01,No,Low
No,No,106,32.91,0,No,WA,0.02,No,Low
No,No,141,32.71,0,No,NV,0.01,No,Low
No,Yes,94,39.64,0,No,KS,0.02,No,Low
No,No,65,27.0,2,No,CO,0.04,No,Low
No,No,85,21.44,1,No,MO,0.02,No,Low
No,No,71,49.37,3,Yes,MA,0.96,Yes,Critical
No,Yes,112,10.3,0,No,NY,0.01,No,Low
No,No,110,25.23,0,No,AK,0.0,No,Low
No,No,111,41.91,2,No,WI,0.06,No,Low
No,No,74,50.68,2,Yes,NH,0.99,Yes,Critical
No,No,105,20.28,2,No,TN,0.03,No,Low
No,No,40,41.23,0,No,NY,0.03,No,Low
Yes,Yes,128,37.76,0,Yes,GA,0.9,Yes,Critical
No,No,123,40.15,2,Yes,MN,0.93,Yes,Critical
No,No,122,24.51,0,No,MI,0.07,No,Low
No,Yes,114,26.28,3,No,ID,0.0,No,Low
No,Yes,102,23.36,2,No,CT,0.01,No,Low
No,No,126,17.63,0,No,NC,0.09,No,Low
No,No,150,23.22,4,Yes,LA,0.86,Yes,Critical
No,No,60,49.27,2,Yes,NJ,0.96,Yes,Critical
Yes,No,138,33.35,0,Yes,CA,0.84,Yes,Critical
No,No,29,33.25,1,No,MD,0.0,No,Low
No,No,111,37.77,4,No,WY,0.09,No,Low
Yes,No,37,29.39,0,Yes,TX,0.83,Yes,Critical
No,No,81,26.27,1,No,UT,0.03,No,Low
No,No,46,15.37,1,No,WA,0.06,No,Low
No,No,125,18.04,1,No,OH,0.01,No,Low
No,No,43,4.59,3,No,KS,0.06,No,Low
No,No,94,41.65,1,No,IN,0.03,No,Low
No,No,46,33.44,3,No,VT,0.01,No,Low
No,Yes,73,22.3,2,No,MT,0.01,No,Low
No,Yes,146,25.43,2,No,CT,0.01,No,Low
No,No,93,40.77,1,No,NM,0.09,No,Low
No,Yes,52,24.16,1,No,OH,0.0,No,Low
No,No,202,19.62,3,No,GA,0.02,No,Low
No,Yes,129,32.81,2,No,MN,0.04,No,Low
No,No,94,35.04,1,No,CT,0.13,No,Low
No,No,100,27.25,0,No,AL,0.01,No,Low
No,No,43,33.98,1,No,WV,0.01,No,Low
No,No,130,36.23,0,No,NH,0.03,No,Low
No,No,124,30.31,3,No,WY,0.02,No,Low
Yes,No,92,42.89,3,Yes,VA,0.71,Yes,High
No,No,48,33.61,4,No,VT,0.25,No,Low
No,Yes,98,18.89,2,No,OH,0.01,No,Low
No,No,100,16.41,1,Yes,MT,0.65,Yes,High
No,No,79,26.67,3,No,MA,0.03,No,Low
No,No,164,20.96,1,No,VA,0.02,No,Low
Yes,No,89,35.17,0,No,AR,0.08,No,Low
No,No,126,42.47,3,Yes,NE,0.74,Yes,High
No,No,96,24.48,1,No,WY,0.01,No,Low
No,Yes,120,50.92,0,No,IA,0.02,No,Low
No,No,212,38.42,2,Yes,SC,0.79,Yes,Critical
No,No,72,23.39,2,No,NC,0.01,No,Low
Yes,Yes,155,35.99,1,No,HI,0.09,No,Low
No,No,89,15.25,2,No,UT,0.02,No,Low
Yes,No,126,33.59,2,No,WY,0.04,No,Low
No,No,172,45.9,2,Yes,AL,0.91,Yes,Critical
No,No,143,33.03,2,No,WI,0.02,No,Low
Yes,No,166,8.11,0,Yes,FL,0.86,Yes,Critical
No,No,132,32.32,1,No,KS,0.03,No,Low
Yes,No,94,15.22,1,Yes,NV,0.89,Yes,Critical
No,No,99,31.04,0,No,NY,0.01,No,Low
No,Yes,136,34.94,1,No,VA,0.05,No,Low
No,No,119,39.36,1,No,KS,0.14,No,Low
Yes,No,115,42.72,3,Yes,NC,0.9,Yes,Critical
No,No,160,29.1,2,No,MO,0.02,No,Low
No,No,166,33.64,2,No,ND,0.04,No,Low
No,No,120,22.92,1,No,CA,0.03,No,Low
No,No,173,32.54,1,No,WV,0.0,No,Low
No,No,156,29.67,0,No,IL,0.03,No,Low
No,No,70,30.16,0,No,NY,0.02,No,Low
No,No,41,30.96,1,No,NV,0.02,No,Low
No,No,132,37.81,0,No,AL,0.02,No,Low
Yes,No,47,8.13,0,Yes,KS,0.89,Yes,Critical
No,No,160,20.71,1,No,ND,0.02,No,Low
No,No,180,24.4,3,No,OK,0.03,No,Low
No,No,93,28.03,2,No,UT,0.01,No,Low
No,No,109,32.91,2,No,OH,0.01,No,Low
No,No,80,17.19,0,No,WY,0.01,No,Low
No,Yes,54,15.69,2,No,NM,0.03,No,Low
No,No,121,28.71,2,No,AL,0.01,No,Low
No,Yes,157,37.26,1,No,DC,0.01,No,Low
No,Yes,170,30.28,0,No,ID,0.02,No,Low
No,No,138,24.91,3,No,AR,0.03,No,Low
No,Yes,92,29.29,1,No,ID,0.01,No,Low
No,No,167,28.76,4,Yes,WA,0.39,No,Medium
No,No,91,21.05,2,No,UT,0.12,No,Low
No,No,127,16.32,3,No,RI,0.08,No,Low
No,Yes,88,15.88,1,No,NC,0.04,No,Low
No,No,123,43.84,2,No,TX,0.23,No,Low
Yes,Yes,136,14.48,2,No,DE,0.06,No,Low
No,Yes,68,27.2,1,No,MS,0.02,No,Low
No,Yes,132,31.09,0,No,OH,0.02,No,Low
No,No,133,36.75,2,No,LA,0.04,No,Low
No,No,127,44.49,0,No,FL,0.1,No,Low
No,No,121,30.12,1,No,WV,0.1,No,Low
No,No,116,15.22,2,No,NY,0.11,No,Low
Yes,No,97,24.65,4,Yes,PA,0.84,Yes,Critical
No,No,43,27.12,2,No,MS,0.02,No,Low
No,No,110,25.81,3,No,IN,0.07,No,Low
No,No,67,29.95,1,No,VA,0.02,No,Low
No,No,166,25.86,0,No,MN,0.01,No,Low
No,No,129,27.42,1,No,DE,0.03,No,Low
Yes,No,103,29.19,3,No,OR,0.08,No,Low
No,No,71,47.41,0,Yes,UT,0.96,Yes,Critical
No,Yes,112,36.21,4,No,CT,0.01,No,Low
No,Yes,8,41.29,1,No,AL,0.05,No,Low
No,No,98,36.92,0,Yes,TX,0.78,Yes,Critical
No,No,90,29.9,1,No,CT,0.03,No,Low
No,No,13,51.54,0,Yes,MS,0.83,Yes,Critical
No,No,58,40.61,2,No,AR,0.05,No,Low
No,Yes,137,32.23,2,No,CA,0.16,No,Low
No,No,116,22.66,5,Yes,MI,0.79,Yes,Critical
No,Yes,94,15.76,3,No,WV,0.0,No,Low
No,No,87,30.12,3,No,DE,0.06,No,Low
No,No,120,31.37,2,No,FL,0.02,No,Low
No,Yes,97,29.94,0,No,AK,0.01,No,Low
No,No,134,34.8,6,No,ID,0.08,No,Low
No,No,68,24.41,2,No,OH,0.01,No,Low
No,No,93,30.48,1,No,NH,0.01,No,Low
No,No,120,23.34,1,No,MA,0.08,No,Low
No,No,41,40.43,2,No,SC,0.08,No,Low
No,No,80,34.63,2,No,OR,0.0,No,Low
No,Yes,83,32.52,2,No,OH,0.02,No,Low
Yes,No,109,35.55,2,No,NC,0.05,No,Low
No,Yes,66,15.1,3,No,KY,0.0,No,Low
No,No,89,23.44,1,No,WA,0.01,No,Low
No,Yes,117,35.29,1,No,RI,0.01,No,Low
No,No,128,45.58,2,No,KS,0.1,No,Low
No,No,88,28.34,4,Yes,NV,0.79,Yes,Critical
No,No,22,30.91,2,No,FL,0.0,No,Low
No,No,78,25.01,0,No,WY,0.02,No,Low
No,Yes,56,6.41,1,No,WA,0.02,No,Low
No,No,192,31.45,2,No,CO,0.0,No,Low
No,No,70,26.59,2,No,WI,0.01,No,Low
No,No,148,40.68,1,No,KS,0.04,No,Low
No,No,119,22.93,1,No,MT,0.07,No,Low
No,No,80,33.12,0,No,CO,0.0,No,Low
No,No,113,15.74,3,No,FL,0.01,No,Low
No,No,75,35.6,1,No,VT,0.06,No,Low
No,No,80,33.59,1,No,OH,0.02,No,Low
No,No,148,2.99,1,No,NH,0.06,No,Low
No,Yes,97,34.39,1,No,FL,0.08,No,Low
No,No,166,23.14,0,No,MD,0.04,No,Low
No,No,94,35.19,1,No,WY,0.03,No,Low
No,Yes,85,35.34,1,No,FL,0.05,No,Low
Yes,No,80,47.01,1,Yes,TN,0.86,Yes,Critical
No,Yes,210,53.35,3,No,NC,0.02,No,Low
Yes,Yes,88,49.05,1,No,IN,0.11,No,Low
No,Yes,154,11.03,1,No,WV,0.05,No,Low
No,Yes,32,41.4,1,No,UT,0.02,No,Low
No,No,18,33.49,3,No,GA,0.01,No,Low
No,Yes,126,47.26,0,No,AK,0.05,No,Low
No,Yes,144,37.38,1,No,UT,0.05,No,Low
No,Yes,86,24.77,0,No,AR,0.04,No,Low
No,Yes,138,12.89,0,No,AK,0.04,No,Low
No,No,146,33.3,3,No,AK,0.01,No,Low
No,No,74,21.08,2,No,WV,0.03,No,Low
No,No,48,29.22,2,No,CT,0.01,No,Low
No,Yes,74,42.4,4,No,GA,0.16,No,Low
Yes,No,105,38.83,0,No,NV,0.11,No,Low
No,No,157,28.66,3,No,VT,0.02,No,Low
No,No,217,21.03,0,No,DC,0.06,No,Low
No,No,68,30.38,1,No,TN,0.11,No,Low
No,No,80,19.24,1,No,OR,0.01,No,Low
No,Yes,38,24.21,2,No,MS,0.03,No,Low
No,Yes,107,34.71,0,No,NC,0.05,No,Low
No,No,140,25.45,3,No,CO,0.01,No,Low
No,No,98,38.61,5,Yes,AR,0.24,No,Low
No,No,114,26.4,2,No,PA,0.0,No,Low
No,No,46,26.59,1,No,MN,0.0,No,Low
No,Yes,118,25.28,0,No,NM,0.01,No,Low
No,No,37,46.19,3,No,UT,0.37,No,Medium
No,No,34,32.93,0,No,NE,0.01,No,Low
No,No,113,41.7,3,Yes,NV,0.33,No,Medium
No,No,69,33.34,0,No,OR,0.03,No,Low
Yes,Yes,59,38.25,1,No,NJ,0.1,No,Low
No,No,59,32.25,0,No,WV,0.0,No,Low
No,No,190,24.29,0,No,OR,0.0,No,Low
No,No,109,29.85,1,No,KY,0.0,No,Low
No,No,136,15.71,2,No,MO,0.05,No,Low
No,No,86,15.78,1,No,TX,0.04,No,Low
No,Yes,100,37.69,0,No,MN,0.01,No,Low
No,No,106,27.13,0,No,FL,0.0,No,Low
No,No,129,27.05,2,No,WV,0.0,No,Low
No,No,205,8.48,2,No,IN,0.1,No,Low
No,Yes,93,19.87,0,No,OK,0.01,No,Low
No,No,99,43.25,1,No,DE,0.03,No,Low
No,No,71,35.19,1,No,IL,0.0,No,Low
Yes,No,4,24.7,0,No,UT,0.05,No,Low
No,Yes,148,39.22,3,No,IL,0.06,No,Low
No,No,141,25.76,1,No,WA,0.03,No,Low
No,No,56,24.84,0,No,NM,0.0,No,Low
No,Yes,43,34.03,3,No,VA,0.02,No,Low
No,No,42,25.62,2,No,MT,0.02,No,Low
Yes,No,135,31.62,1,No,CT,0.07,No,Low
No,No,106,36.19,3,No,AL,0.0,No,Low
No,No,106,33.12,0,No,WV,0.01,No,Low
No,Yes,83,46.33,3,No,MO,0.07,No,Low
No,No,110,22.97,1,No,ND,0.0,No,Low
No,Yes,109,39.19,5,No,GA,0.09,No,Low
No,No,124,24.36,4,Yes,LA,0.41,No,Medium
No,No,110,46.09,2,Yes,UT,0.93,Yes,Critical
No,No,124,43.1,0,No,AZ,0.2,No,Low
No,No,82,28.41,6,Yes,NY,0.89,Yes,Critical
No,No,137,17.8,1,No,AL,0.03,No,Low
No,No,69,23.02,1,No,IN,0.01,No,Low
No,No,16,24.62,2,No,NM,0.03,No,Low
No,No,119,16.8,3,No,AL,0.01,No,Low
Yes,No,124,26.83,3,Yes,MN,0.87,Yes,Critical
No,Yes,122,27.71,1,No,NY,0.01,No,Low
No,No,139,30.87,4,No,MD,0.21,No,Low
No,No,67,21.93,2,No,KS,0.0,No,Low
No,No,84,14.62,1,No,WV,0.01,No,Low
No,Yes,101,32.96,0,No,ID,0.05,No,Low
No,No,40,18.6,0,No,LA,0.04,No,Low
No,No,61,32.11,2,No,MI,0.0,No,Low
Yes,No,120,30.58,1,Yes,TN,0.97,Yes,Critical
No,No,95,31.18,1,No,CA,0.01,No,Low
No,No,98,48.98,0,No,FL,0.44,No,Medium
No,No,114,28.76,2,No,LA,0.01,No,Low
No,No,22,35.31,0,No,CT,0.01,No,Low
No,No,176,28.82,0,No,PA,0.02,No,Low
No,No,152,24.06,2,No,TX,0.01,No,Low
No,No,118,26.32,0,No,VA,0.03,No,Low
Yes,No,101,22.7,1,No,MO,0.12,No,Low
No,No,118,38.18,2,No,ND,0.03,No,Low
No,No,105,46.55,2,Yes,FL,0.95,Yes,Critical
No,No,71,17.68,0,No,KY,0.01,No,Low
No,Yes,71,19.62,1,No,MD,0.01,No,Low
No,No,68,37.76,2,No,IN,0.03,No,Low
No,No,66,19.79,3,No,MA,0.05,No,Low
No,No,101,37.01,3,No,ND,0.02,No,Low
No,No,116,22.0,0,No,VT,0.01,No,Low
No,Yes,54,27.51,0,No,CT,0.02,No,Low
No,Yes,112,33.8,1,No,VA,0.01,No,Low
No,Yes,122,25.13,1,No,MS,0.04,No,Low
No,No,74,44.59,3,No,AK,0.1,No,Low
No,No,90,41.89,1,No,WY,0.02,No,Low
No,No,112,29.63,4,Yes,NY,0.36,No,Medium
No,No,85,31.18,4,No,NC,0.09,No,Low
No,No,100,32.62,1,No,IL,0.02,No,Low
No,No,114,31.93,2,No,OH,0.0,No,Low
No,No,83,44.15,0,No,RI,0.07,No,Low
Yes,No,157,30.67,0,No,WY,0.05,No,Low
No,No,51,8.81,2,No,OR,0.02,No,Low
No,No,42,51.66,1,Yes,NV,0.88,Yes,Critical
No,Yes,101,21.03,1,Yes,ND,0.53,Yes,Medium
No,No,112,35.05,3,No,OR,0.03,No,Low
No,No,56,27.93,2,No,ND,0.02,No,Low
No,No,53,38.86,9,Yes,NJ,0.7,Yes,High
No,Yes,64,34.07,1,No,WV,0.01,No,Low
No,No,123,26.23,0,No,VA,0.0,No,Low
No,Yes,68,20.89,2,No,ID,0.02,No,Low
Yes,No,40,37.54,0,No,CT,0.17,No,Low
No,No,132,36.48,0,No,NM,0.03,No,Low
Yes,No,120,34.34,2,Yes,CT,0.85,Yes,Critical
No,Yes,108,35.62,6,Yes,MI,0.3,No,Medium
No,No,161,50.64,1,Yes,SC,0.92,Yes,Critical
No,No,130,36.18,0,Yes,SC,0.6,Yes,High
No,Yes,130,25.99,2,No,MT,0.04,No,Low
No,No,90,21.32,1,No,WY,0.07,No,Low
No,Yes,139,23.51,0,No,NE,0.01,No,Low
No,No,57,32.18,3,No,IN,0.02,No,Low
No,No,128,33.88,4,No,CO,0.05,No,Low
No,No,107,50.13,1,Yes,MD,0.64,Yes,High
No,No,177,29.82,1,No,OK,0.0,No,Low
No,No,121,30.5,1,No,SD,0.05,No,Low
Yes,Yes,99,21.56,0,No,SC,0.08,No,Low
No,Yes,77,24.31,5,Yes,NY,0.42,No,Medium
No,No,21,15.62,2,No,WV,0.07,No,Low
No,No,56,35.77,1,No,WA,0.06,No,Low
No,Yes,92,34.22,1,Yes,ID,0.51,Yes,Medium
No,No,81,24.75,2,No,MN,0.08,No,Low
Yes,Yes,139,34.6,1,Yes,TX,0.9,Yes,Critical
No,No,68,39.51,1,No,AZ,0.01,No,Low
No,Yes,183,14.71,2,No,DE,0.12,No,Low
No,No,165,26.52,1,No,WI,0.09,No,Low
No,No,89,55.47,1,Yes,WI,0.78,Yes,Critical
No,No,59,33.15,0,No,NJ,0.05,No,Low
Yes,No,16,18.7,0,No,IL,0.13,No,Low
No,No,114,25.01,5,Yes,DC,0.61,Yes,High
No,No,113,26.52,2,No,IA,0.06,No,Low
No,No,120,16.69,2,No,GA,0.03,No,Low
No,No,115,35.8,0,No,AK,0.0,No,Low
Yes,No,100,27.18,2,Yes,MN,0.65,Yes,High
No,No,1,21.05,0,No,SC,0.02,No,Low
No,Yes,97,19.99,1,No,MT,0.0,No,Low
No,Yes,55,17.9,2,No,KY,0.03,No,Low
No,No,75,18.99,1,No,WV,0.03,No,Low
No,No,83,27.08,2,No,ID,0.01,No,Low
No,No,40,13.89,6,Yes,MN,0.65,Yes,High
No,Yes,101,40.46,2,No,MA,0.01,No,Low
No,Yes,120,21.78,0,No,MD,0.15,No,Low
No,Yes,183,29.1,1,No,SD,0.05,No,Low
No,No,75,18.53,4,Yes,PA,0.81,Yes,Critical
No,No,80,37.4,2,No,KY,0.01,No,Low
No,No,88,9.45,0,No,ID,0.09,No,Low
No,Yes,112,48.72,1,No,NY,0.09,No,Low
No,No,63,35.29,1,No,NM,0.02,No,Low
No,Yes,105,18.63,4,Yes,CA,0.76,Yes,Critical
No,No,177,29.87,1,No,WY,0.01,No,Low
No,No,118,34.88,0,No,NM,0.02,No,Low
No,Yes,82,39.54,3,No,ID,0.02,No,Low
No,No,74,17.46,0,No,NC,0.04,No,Low
No,No,125,28.78,2,No,AL,0.01,No,Low
No,No,138,42.67,3,No,VA,0.06,No,Low
No,No,119,39.17,3,No,ID,0.06,No,Low
No,No,137,18.67,1,No,NY,0.03,No,Low
No,No,182,47.52,2,Yes,NC,0.86,Yes,Critical
No,Yes,134,36.45,1,No,HI,0.01,No,Low
No,No,45,16.34,1,No,DC,0.04,No,Low
No,Yes,163,38.08,1,No,LA,0.06,No,Low
No,No,105,35.89,4,No,HI,0.04,No,Low
No,No,119,18.56,2,No,FL,0.0,No,Low
No,No,78,37.4,0,No,WY,0.01,No,Low
No,Yes,125,16.41,1,No,OR,0.03,No,Low
No,No,88,31.2,3,No,IN,0.01,No,Low
No,Yes,83,18.34,0,No,MD,0.0,No,Low
Yes,No,3,27.37,1,No,TN,0.08,No,Low
No,No,48,25.36,3,No,WA,0.01,No,Low
No,No,129,23.43,1,Yes,IN,0.69,Yes,High
No,Yes,66,24.09,0,No,CO,0.02,No,Low
No,Yes,80,33.39,0,No,TX,0.01,No,Low
No,No,84,24.96,1,No,WV,0.02,No,Low
No,No,96,29.56,1,No,MA,0.02,No,Low
No,Yes,123,51.88,1,No,TN,0.09,No,Low
Yes,Yes,116,27.59,3,Yes,ID,0.86,Yes,Critical
Yes,No,105,25.5,3,No,DE,0.05,No,Low
No,No,80,33.58,1,No,VA,0.01,No,Low
No,No,157,40.83,2,No,MT,0.06,No,Low
No,Yes,67,31.65,2,No,ID,0.01,No,Low
No,Yes,79,40.24,1,No,MD,0.07,No,Low
No,No,76,29.44,0,No,MS,0.01,No,Low
No,No,94,30.82,0,No,OH,0.01,No,Low
No,No,109,29.82,1,No,AR,0.02,No,Low
No,No,138,14.89,2,No,AZ,0.07,No,Low
No,No,73,34.56,0,No,SC,0.28,No,Low
No,No,21,15.74,5,Yes,KY,0.61,Yes,High
No,No,103,27.34,1,No,NE,0.0,No,Low
No,Yes,79,8.6,2,No,MN,0.04,No,Low
No,No,89,22.93,1,No,NV,0.0,No,Low
No,No,120,42.86,1,No,CA,0.23,No,Low
No,Yes,121,36.64,1,No,UT,0.02,No,Low
No,No,101,21.22,0,No,IL,0.03,No,Low
No,No,115,30.38,2,No,DC,0.07,No,Low
No,No,168,31.14,2,No,IN,0.01,No,Low
No,No,70,25.01,3,No,MS,0.02,No,Low
No,No,138,39.12,1,No,VT,0.02,No,Low
No,No,43,23.09,0,No,VT,0.0,No,Low
No,Yes,117,34.97,2,No,UT,0.0,No,Low
No,No,108,12.55,2,No,KY,0.02,No,Low
No,No,118,32.18,2,No,VA,0.01,No,Low
No,Yes,62,23.34,0,No,AZ,0.02,No,Low
No,No,86,12.02,2,No,NY,0.03,No,Low
No,No,44,34.78,0,No,VA,0.02,No,Low
No,No,111,20.93,5,Yes,MD,0.87,Yes,Critical
No,Yes,127,22.05,2,No,MA,0.02,No,Low
Yes,No,151,33.78,0,No,IL,0.07,No,Low
No,No,137,36.7,1,No,PA,0.0,No,Low
No,No,106,20.26,2,No,TN,0.02,No,Low
No,No,88,24.53,3,No,NJ,0.0,No,Low
